Number,Road,Locality,Post town,Admin area level 3,Admin area level 2,Admin area level 1,Postcode,Country
16,Alexandra Road,Newquay,Newquay,,Cornwall,England,TR7 3ND,United Kingdom
41,Crembling Well,Barncoose,Redruth,,Cornwall,England,TR15 3EA,United Kingdom
,Rinsey Lane,,Helston,,Cornwall,England,TR13 9SF,United Kingdom
17,Aylwin Close,Newquay,Newquay,,Cornwall,England,TR7 3EF,United Kingdom
1,Smithfield Court,Newquay,Newquay,,Cornwall,England,TR8 4PX,United Kingdom
1,Oates Road,Marazion,Marazion,,Cornwall,England,TR17 0AN,United Kingdom
2,Machan Lodge,Gillan,Helston,,Cornwall,England,TR12 6HG,United Kingdom
20,Chynowen Parc,Cubert,Newquay,,Cornwall,England,TR8 5HD,United Kingdom
5,Tryhornek,Carbis Bay,Saint Ives,,Cornwall,England,TR26 2TR,United Kingdom
18,Tinney Drive,Truro,Truro,,Cornwall,England,TR1 1AG,United Kingdom
108,Hellis Wartha,Helston,Helston,,Cornwall,England,TR13 8WF,United Kingdom
3,Mitchell Lane,Camborne,Camborne,,Cornwall,England,TR14 8JL,United Kingdom
7,Rawley Lane,Newquay,Newquay,,Cornwall,England,TR7 2ET,United Kingdom
1,Parka Road,Fraddon,Saint Columb,,Cornwall,England,TR9 6JY,United Kingdom
28,Chapel Street,Saint Day,Redruth,,Cornwall,England,TR16 5NE,United Kingdom
2,Brook Road,Falmouth,Falmouth,,Cornwall,England,TR11 4HA,United Kingdom
3,Trennick Lane,Truro,Truro,,Cornwall,England,TR1 1QL,United Kingdom
1,Woodridge Close,Leedstown,Hayle,,Cornwall,England,TR27 6DQ,United Kingdom
2,Dracaena Avenue,Falmouth,Falmouth,,Cornwall,England,TR11 2EE,United Kingdom
,Wellington Road,Porthleven,Helston,,Cornwall,England,TR13 9BU,United Kingdom
1,Hillhead,Ladock,Truro,,Cornwall,England,TR2 4QA,United Kingdom
1,Skimmel Bridge,Tremethick Cross,Penzance,,Cornwall,England,TR20 8UG,United Kingdom
4B,Belyars Lane,Saint Ives,Saint Ives,,Cornwall,England,TR26 2DB,United Kingdom
2,Churchtown Cottages,Towednack,Saint Ives,,Cornwall,England,TR26 3AP,United Kingdom
8,Saint Michael's Close,Hayle,Hayle,,Cornwall,England,TR27 4QR,United Kingdom
,Grove Lane,,Penzance,,Cornwall,England,TR20 9HN,United Kingdom
,Eglos Parc,Mullion,Helston,,Cornwall,England,TR12 7DG,United Kingdom
26,Goldenbank Caravan Site,Goldenbank,Falmouth,,Cornwall,England,TR11 5BH,United Kingdom
2,Railway Terrace,Portreath,Redruth,,Cornwall,England,TR16 4LD,United Kingdom
9,Beach Road,Porthtowan,Truro,,Cornwall,England,TR4 8AA,United Kingdom
,Tregye Road,Carnon Downs,Truro,,Cornwall,England,TR3 6GN,United Kingdom
21A,Fore Street,Saint Just,Penzance,,Cornwall,England,TR19 7LL,United Kingdom
8,Hillside Cottages,Pendeen,Penzance,,Cornwall,England,TR19 7SW,United Kingdom
8,Gloucester Road,Newlyn,Penzance,,Cornwall,England,TR18 5DW,United Kingdom
